episode,steps,ep_reward,avg_speed,total_energy,wiggle,safety,success,reason
340,1,49.927,2.687,1.588,0.000,0.000,1,goal
341,3,-199.068,20.083,332.417,0.000,0.011,0,collision
342,1,49.894,5.272,13.926,0.000,0.000,1,goal
343,1,0.000,0.000,0.000,0.000,0.000,0,not_found
344,1,49.931,4.246,5.447,0.000,0.000,1,goal
345,4,-198.431,15.895,421.866,0.038,0.321,0,collision
346,3,51.112,19.950,329.529,0.000,0.142,1,goal
347,2,50.671,13.346,129.008,0.000,0.000,1,goal
348,1,-199.874,7.933,43.941,0.000,0.696,0,collision
349,8,-49.264,14.716,831.494,0.046,0.118,1,goal
350,5,52.005,22.400,403.598,0.110,0.216,1,goal
351,5,53.173,32.640,578.741,0.000,0.000,1,goal
352,3,-198.647,21.269,401.397,0.000,0.000,0,collision
353,2,50.661,14.025,137.232,0.000,0.091,1,goal
354,4,51.664,25.878,418.300,0.000,0.000,1,goal
355,2,50.657,13.094,125.973,0.000,0.083,1,goal
356,4,-198.386,26.874,406.533,0.000,0.158,0,collision
357,2,-199.804,13.014,90.471,0.000,0.290,0,collision
358,3,-199.132,19.880,352.390,0.000,0.276,0,collision
359,2,50.291,12.122,72.463,0.000,0.282,1,goal
360,3,-199.221,9.766,222.020,0.147,0.239,0,collision
361,3,-199.286,10.289,235.417,0.191,0.461,0,collision
362,1,-199.818,8.694,54.739,0.000,0.482,0,collision
363,2,50.624,13.261,127.982,0.000,0.000,1,goal
364,2,50.540,13.197,114.964,0.000,0.052,1,goal
365,1,-199.894,4.247,8.178,0.000,0.181,0,collision
366,2,50.439,12.371,74.580,0.000,0.065,1,goal
367,5,-47.290,33.133,585.561,0.000,0.079,1,goal
368,3,-199.173,10.309,235.936,0.070,0.255,0,collision
369,1,-199.893,4.718,9.213,0.000,0.398,0,collision
370,5,52.413,22.094,394.273,0.088,0.154,1,goal
371,3,-199.153,18.747,240.389,0.000,0.230,0,collision
372,5,-47.333,32.966,433.767,0.000,0.000,1,goal
373,1,49.905,2.176,2.438,0.000,0.000,1,goal
374,7,-200.166,9.937,541.493,0.037,0.180,0,collision
375,2,-199.551,13.043,90.750,0.000,0.044,0,collision
376,1,50.039,5.985,24.106,0.000,0.000,1,goal
377,7,-47.310,17.839,726.054,0.000,0.000,1,goal
378,1,50.086,6.038,24.340,0.000,0.000,1,goal
379,1,0.000,0.000,0.000,0.000,0.000,0,not_found
380,2,-199.989,12.027,71.652,0.000,0.701,0,collision
381,3,51.558,20.879,419.135,0.000,0.000,1,goal
382,2,-199.232,14.239,198.734,0.000,0.000,0,collision
383,1,0.000,0.000,0.000,0.000,0.000,0,not_found
384,2,-199.263,14.477,202.523,0.000,0.014,0,collision
385,2,-199.628,12.274,83.528,0.000,0.534,0,collision
386,3,-199.125,19.469,253.450,0.000,0.513,0,collision
387,2,50.304,12.232,73.397,0.000,0.383,1,goal
388,3,-199.009,20.094,286.487,0.000,0.232,0,collision
389,2,50.426,13.316,116.294,0.000,0.000,1,goal
390,2,50.587,13.247,127.813,0.000,0.054,1,goal
391,2,-199.668,4.228,59.103,0.002,0.160,0,collision
392,2,50.634,13.789,147.732,0.000,0.000,1,goal
393,3,-199.216,19.257,249.592,0.000,0.161,0,collision
394,3,-198.672,20.649,413.300,0.000,0.000,0,collision
395,1,50.223,7.707,42.576,0.000,0.000,1,goal
396,3,-199.084,19.281,292.463,0.000,0.265,0,collision
397,1,49.923,4.295,5.518,0.000,0.000,1,goal
398,2,-199.223,13.779,161.576,0.000,0.281,0,collision
399,3,-198.870,20.139,358.313,0.000,0.116,0,collision
400,1,50.295,8.004,49.999,0.000,0.000,1,goal
401,3,-198.601,21.476,401.365,0.000,0.070,0,collision
402,6,-198.084,16.117,647.434,0.000,0.153,0,collision
403,2,50.426,12.813,99.347,0.000,0.013,1,goal
404,6,-46.624,36.283,530.342,0.000,0.000,1,goal
405,5,-46.749,32.637,579.278,0.000,0.000,1,goal
406,1,-200.139,4.608,8.970,0.000,0.715,0,collision
407,1,50.121,7.796,43.115,0.000,0.000,1,goal
408,1,50.115,5.694,22.810,0.000,0.000,1,goal
409,1,49.919,7.188,39.441,0.000,0.000,1,goal
410,3,-198.446,20.879,419.135,0.000,0.000,0,collision
411,3,-199.117,10.183,232.696,0.243,0.247,0,collision
412,1,0.000,0.000,0.000,0.000,0.000,0,not_found
413,3,-198.812,20.776,399.482,0.000,0.270,0,collision
414,2,50.526,12.233,83.145,0.000,0.010,1,goal
415,2,50.378,12.881,89.216,0.000,0.003,1,goal
416,1,0.000,0.000,0.000,0.000,0.000,0,not_found
417,3,50.912,9.659,219.298,0.123,0.305,1,goal
418,5,-46.958,32.979,552.753,0.000,0.000,1,goal
419,1,0.000,0.000,0.000,0.000,0.000,0,not_found
420,2,50.533,12.416,84.855,0.000,0.022,1,goal
421,1,0.000,0.000,0.000,0.000,0.000,0,not_found
422,2,-199.919,11.886,100.456,0.000,0.157,0,collision
423,7,-202.489,8.863,415.335,0.000,0.016,0,collision
424,2,50.189,12.307,83.837,0.000,0.308,1,goal
425,2,-199.506,12.666,97.842,0.000,0.001,0,collision
426,4,-198.266,25.788,412.078,0.000,0.281,0,collision
427,1,0.000,0.000,0.000,0.000,0.000,0,not_found
428,2,-199.297,14.639,173.639,0.000,0.117,0,collision
429,2,50.264,12.829,78.499,0.000,0.459,1,goal
430,2,-199.646,4.660,65.741,0.111,0.385,0,collision
431,4,51.570,26.661,397.510,0.000,0.000,1,goal
432,1,49.922,4.069,7.786,0.000,0.000,1,goal
433,4,51.490,25.718,414.237,0.000,0.167,1,goal
434,2,50.555,13.364,129.223,0.000,0.042,1,goal
435,1,50.160,7.448,41.010,0.000,0.000,1,goal
436,1,49.949,5.709,19.040,0.000,0.000,1,goal
437,2,50.049,12.771,88.187,0.000,0.376,1,goal
438,5,-48.025,22.151,396.027,0.099,0.029,1,goal
439,3,-199.160,19.240,269.987,0.000,0.131,0,collision
440,4,-198.444,26.101,423.988,0.000,0.437,0,collision
441,4,-197.900,27.642,402.478,0.000,0.179,0,collision
442,3,-199.013,19.834,303.726,0.000,0.143,0,collision
443,3,-198.932,20.006,307.257,0.000,0.232,0,collision
444,2,50.335,13.000,90.342,0.000,0.001,1,goal
445,1,50.000,0.000,0.000,0.000,0.000,1,goal
446,4,-198.161,27.061,399.683,0.000,0.067,0,collision
447,1,49.921,5.040,13.242,0.000,0.000,1,goal
448,1,50.183,7.613,42.005,0.000,0.000,1,goal
449,3,-198.952,19.754,279.896,0.000,0.000,0,collision
450,2,-199.388,12.921,111.890,0.000,0.053,0,collision
451,1,-199.890,8.370,52.513,0.000,0.654,0,collision
452,1,0.000,0.000,0.000,0.000,0.000,0,not_found
453,3,-198.581,21.169,398.957,0.000,0.080,0,collision
454,2,50.627,13.497,143.937,0.000,0.000,1,goal
455,1,-200.112,5.686,18.954,0.000,0.956,0,collision
456,2,-199.729,13.356,129.129,0.000,0.421,0,collision
457,1,49.865,3.620,4.532,0.000,0.000,1,goal
458,3,-199.128,19.587,276.654,0.000,0.212,0,collision
459,2,50.201,4.201,58.692,0.364,0.498,1,goal
460,2,50.484,12.231,83.128,0.000,0.008,1,goal
461,3,-198.783,20.783,373.132,0.000,0.043,0,collision
462,1,0.000,0.000,0.000,0.000,0.000,0,not_found
463,1,-200.017,6.552,26.638,0.000,0.766,0,collision
464,5,-47.256,32.721,581.482,0.000,0.000,1,goal
465,5,52.182,21.840,418.839,0.155,0.125,1,goal
466,3,-199.053,19.007,245.069,0.000,0.349,0,collision
467,3,-198.783,20.618,412.502,0.000,0.000,0,collision
